iter	Logloss
0	0.6621457455
1	0.6331786406
2	0.611022119
3	0.5914095095
4	0.5761106173
5	0.5643048531
6	0.5553600026
7	0.5463983189
8	0.5387520309
9	0.5327533256
10	0.5282574291
11	0.5256964885
12	0.522779932
13	0.5201997209
14	0.5173128799
15	0.5147268145
16	0.5136810035
17	0.5128101641
18	0.5108120306
19	0.5088955988
20	0.5076555364
21	0.5063183278
22	0.5053190314
23	0.5043051716
24	0.5033811935
25	0.5026334574
26	0.5020204597
27	0.5015078638
28	0.5011687137
29	0.5008742351
30	0.5001023842
31	0.4996416743
32	0.4994370403
33	0.4989248363
34	0.4985637481
35	0.4978478623
36	0.4973383527
37	0.4972838752
38	0.4972705794
39	0.4971488022
40	0.4966092674
41	0.4965077452
42	0.4962650048
43	0.4957597429
44	0.4954967223
45	0.4953828924
46	0.4953803384
47	0.4953780369
48	0.4952097347
49	0.4947226018
50	0.4946607657
51	0.494632214
52	0.4942591165
53	0.4939878244
54	0.4939877066
55	0.4938511805
56	0.4936175222
57	0.4932273266
58	0.4927714616
59	0.4926433368
60	0.4924814738
61	0.4920665295
62	0.4919823086
63	0.4915843885
64	0.4913936744
65	0.4913059798
66	0.4910209854
67	0.4908596533
68	0.490743201
69	0.4905766373
70	0.4903852607
71	0.4901806891
72	0.4899155446
73	0.4899154489
74	0.489714293
75	0.4897137025
76	0.4895455482
77	0.4895328307
78	0.4894775186
79	0.4892074242
80	0.4890722964
81	0.4890393658
82	0.4887488042
83	0.4886756094
84	0.4885678299
85	0.4884508601
86	0.4883166031
87	0.4879887735
88	0.4879761771
89	0.4876140979
90	0.4876140961
91	0.4875761816
92	0.4875171622
93	0.4875171095
94	0.4874835826
95	0.4873293584
96	0.4869512484
97	0.486823786
98	0.4868155196
99	0.486584603
100	0.4864987445
101	0.4863051806
102	0.4861992179
103	0.4861989461
104	0.4861070487
105	0.48599415
106	0.4858426277
107	0.4856391836
108	0.485481111
109	0.485471122
110	0.4854410911
111	0.4852283477
112	0.4850788663
113	0.4849594114
114	0.4849594098
115	0.4848864857
116	0.4846234208
117	0.4844518803
118	0.484137044
119	0.4839352943
120	0.4839352872
121	0.4836564046
122	0.4834576944
123	0.483089131
124	0.4827468858
125	0.4824645656
126	0.4822271113
127	0.481935041
128	0.4818540776
129	0.4816990011
130	0.4814850821
131	0.4813595282
132	0.4810411843
133	0.480674432
134	0.4805163843
135	0.4803327063
136	0.4800604841
137	0.4799036704
138	0.4797042106
139	0.4792985307
140	0.4791132911
141	0.4790293158
142	0.4785324812
143	0.4784234933
144	0.4782020263
145	0.4780127005
146	0.4776922728
147	0.477447524
148	0.4773291682
149	0.4771794494
150	0.4769753249
151	0.476698455
152	0.4764882973
153	0.4762331324
154	0.475904606
155	0.4756806437
156	0.4752745005
157	0.4751296409
158	0.4749167551
159	0.4746186381
160	0.4743296387
161	0.4741863126
162	0.4739853198
163	0.4737048557
164	0.4734234355
165	0.4730921623
166	0.4729186738
167	0.4727946239
168	0.4725956919
169	0.4724015949
170	0.4721074365
171	0.471911959
172	0.4716630599
173	0.4715974057
174	0.4714243937
175	0.4713275904
176	0.4711309931
177	0.4711309858
178	0.4709285704
179	0.4707668664
180	0.4705675822
181	0.4704363687
182	0.4702777098
183	0.4700935567
184	0.4699410181
185	0.4697962509
186	0.4696335094
187	0.4693917766
188	0.4692766177
189	0.4691460718
190	0.469068182
191	0.4688768008
192	0.4688767929
193	0.4686904912
194	0.4685541682
195	0.4682108308
196	0.4679713339
197	0.4678928499
198	0.4677539731
199	0.4675414683
200	0.4675414652
201	0.4675037089
202	0.4673802676
203	0.4672836019
204	0.4671541495
205	0.4670650113
206	0.4670039002
207	0.4669587393
208	0.4668131903
209	0.4666770207
210	0.4665766341
211	0.4664959474
212	0.4663898729
213	0.4662985055
214	0.4662161641
215	0.466114235
216	0.4659067249
217	0.4657638398
218	0.4656192739
219	0.4655232593
220	0.4654717462
221	0.4653966139
222	0.4652474435
223	0.4652273887
224	0.4652045466
225	0.4649869427
226	0.4649589074
227	0.4648390989
228	0.4647374125
229	0.4646552809
230	0.4645753611
231	0.4645570443
232	0.4643969675
233	0.4643372713
234	0.4641003448
235	0.4639260472
236	0.4638578132
237	0.4638225759
238	0.463724633
239	0.4636332297
240	0.4635030147
241	0.4633953236
242	0.4633190988
243	0.4631366228
244	0.4630630253
245	0.4630022529
246	0.462935274
247	0.4628126101
248	0.4626453958
249	0.4625179693
250	0.4623998344
251	0.4623161348
252	0.4622713183
253	0.4621324924
254	0.4619901735
255	0.4619040815
256	0.4617865535
257	0.4617314725
258	0.461589724
259	0.4614555878
260	0.4613859378
261	0.4612695098
262	0.4612127998
263	0.4610800415
264	0.4609658459
265	0.4608946323
266	0.4607378229
267	0.4605133546
268	0.4604180656
269	0.4603409653
270	0.4602730745
271	0.4601975965
272	0.4600971335
273	0.4600398922
274	0.4599698295
275	0.4599085272
276	0.4598638764
277	0.4597665948
278	0.4597320946
279	0.4596618118
280	0.4595905913
281	0.459479361
282	0.4594219825
283	0.4593874265
284	0.459252281
285	0.4591234614
286	0.4590190713
287	0.4589787308
288	0.4588767856
289	0.4588404821
290	0.4587598348
291	0.4586945593
292	0.4585939204
293	0.4585136028
294	0.4584316009
295	0.4583121758
296	0.4581987728
297	0.4580918636
298	0.4580676205
299	0.4579668337
300	0.4578648414
301	0.4577431289
302	0.4576683104
303	0.4576086747
304	0.4575831003
305	0.457529556
306	0.4574860848
307	0.4573031454
308	0.4572100532
309	0.4571537099
310	0.4570461632
311	0.4569830035
312	0.456929517
313	0.4568432666
314	0.4566793067
315	0.4566143091
316	0.4566139644
317	0.4564706927
318	0.4564438408
319	0.4563870187
320	0.4563305064
321	0.4562879208
322	0.4562758122
323	0.4562503898
324	0.4562050377
325	0.4561668962
326	0.4560617203
327	0.4559408988
328	0.4558271673
329	0.4558032923
330	0.4557574605
331	0.4556836277
332	0.4556023993
333	0.45554249
334	0.4554819082
335	0.4553656426
336	0.4552298193
337	0.4551530262
338	0.4550821506
339	0.4550694862
340	0.4550167358
341	0.4549297199
342	0.4548995797
343	0.4548561488
344	0.4547573802
345	0.4546716913
346	0.4546568497
347	0.454626872
348	0.454542452
349	0.4544670519
350	0.4544354967
351	0.4543956835
352	0.4543269827
353	0.4542446462
354	0.4542296911
355	0.4541728256
356	0.4541515806
357	0.4541236868
358	0.4540824645
359	0.4539627542
360	0.4539054506
361	0.453842401
362	0.4537793449
363	0.4537791714
364	0.4536729102
365	0.4536558604
366	0.4536068529
367	0.4536068499
368	0.4535644864
369	0.4535036218
370	0.4534096052
371	0.4533548222
372	0.4533277578
373	0.453229276
374	0.4531768644
375	0.4531082442
376	0.4530075446
377	0.4529770011
378	0.4529764147
379	0.4529168571
380	0.4528579096
381	0.4528260674
382	0.4527905334
383	0.4527603785
384	0.4527469365
385	0.4526883726
386	0.4526651926
387	0.4526170973
388	0.4525052243
389	0.4524665071
390	0.4524172891
391	0.4523452735
392	0.4523286434
393	0.4522794267
394	0.4522172941
395	0.4522158646
396	0.4521480487
397	0.4520799486
398	0.4520080004
399	0.4519792484
400	0.4518863137
401	0.4518253795
402	0.4517764478
403	0.4517558805
404	0.4517213163
405	0.4516583681
406	0.4515408725
407	0.4514850463
408	0.4514726562
409	0.4514367583
410	0.4514162164
411	0.4514140699
412	0.45130563
413	0.4512112987
414	0.4511420496
415	0.451063205
416	0.450990314
417	0.4509581646
418	0.450854019
419	0.4508377852
420	0.4507306882
421	0.4507074984
422	0.4506292243
423	0.4505812601
424	0.4505460921
425	0.4504732136
426	0.4504131606
427	0.4503828483
428	0.4503618635
429	0.4502760048
430	0.4502430366
431	0.4502252424
432	0.4501362037
433	0.4500957971
434	0.4500434163
435	0.4499753714
436	0.4499264167
437	0.449858953
438	0.4498192199
439	0.4497417797
440	0.4497185468
441	0.4496638844
442	0.4496206964
443	0.4495547829
444	0.4495040633
445	0.4494849752
446	0.4494520984
447	0.4493648683
448	0.4492985454
449	0.4492366505
450	0.4491916864
451	0.4491743247
452	0.4491585772
453	0.4491420545
454	0.4491090632
455	0.4490685377
456	0.44905767
457	0.4490514152
458	0.4490270887
459	0.4489879116
460	0.4489168606
461	0.4488871914
462	0.4488230073
463	0.4487712901
464	0.4487662894
465	0.4487027121
466	0.4486339162
467	0.4485329185
468	0.4485226714
469	0.4484421631
470	0.4484295227
471	0.4483884645
472	0.4483650548
473	0.4482981572
474	0.4482456845
475	0.4481636162
476	0.4480796876
477	0.4479829121
478	0.4478950193
479	0.4478535053
480	0.4478066388
481	0.4477714863
482	0.4477299133
483	0.4476869981
484	0.4475983877
485	0.4475525002
486	0.4474923336
487	0.4474399999
488	0.4473383159
489	0.4472881303
490	0.4472344077
491	0.4472120302
492	0.4471655638
493	0.4471417089
494	0.4471023854
495	0.4470468183
496	0.447017685
497	0.4470116442
498	0.4469587362
499	0.4469085742
500	0.446888469
501	0.4468809821
502	0.4468221872
503	0.4467382908
504	0.4467226934
505	0.4466834822
506	0.4466412487
507	0.4466296159
508	0.4466281205
509	0.4466080713
510	0.4465797852
511	0.4465475942
512	0.4464965816
513	0.4463815335
514	0.4463162024
515	0.4462716067
516	0.4462654249
517	0.4462569313
518	0.4461817469
519	0.4461208253
520	0.4460915163
521	0.4460650713
522	0.4460639845
523	0.4460072974
524	0.4459810688
525	0.4459662118
526	0.4459574767
527	0.4459333973
528	0.4459135762
529	0.4458919444
530	0.4458853083
531	0.445832546
532	0.4457994871
533	0.4457368936
534	0.4456891897
535	0.4456398253
536	0.445609077
537	0.4455761166
538	0.4455139554
539	0.4455021642
540	0.4454840721
541	0.4454765102
542	0.4454577712
543	0.4454530663
544	0.4453744907
545	0.4453054598
546	0.4452159189
547	0.4451722837
548	0.4451604228
549	0.4451432892
550	0.4450431545
551	0.4449798556
552	0.4449711174
553	0.4449265558
554	0.4448939219
555	0.4448757888
556	0.4448404212
557	0.4448136866
558	0.4447715556
559	0.444734536
560	0.4446585241
561	0.4446148434
562	0.4446017782
563	0.4445833775
564	0.4445721167
565	0.4445610858
566	0.444511994
567	0.4444588595
568	0.4444161464
569	0.4443699971
570	0.4443624317
571	0.4443568352
572	0.4442710354
573	0.4442073259
574	0.4441932326
575	0.4441054002
576	0.4441049141
577	0.4440760048
578	0.4440536202
579	0.4440522448
580	0.4440292838
581	0.4440038612
582	0.4439308667
583	0.4438560848
584	0.4438130718
585	0.4437644274
586	0.4437387193
587	0.4437313562
588	0.4437029087
589	0.4436846251
590	0.4436667277
591	0.4436245244
592	0.4436125603
593	0.4435184815
594	0.4434500361
595	0.4434273624
596	0.4434144418
597	0.4433698965
598	0.4433536678
599	0.4433205406
